id,name,state,city,county,localeCode,localeBucket,latitude,longitude,enrollment,teacherFte,studentTeacherRatio,perPupilSpending,schoolCount,sourceYear
0100005,Albertville City,AL,Albertville,Marshall County,32,Town,34.268289,-86.209263,5562,288.5,19.28,8540.27,6,2017-2018
0100006,Marshall County,AL,Guntersville,Marshall County,42,Rural,34.30577,-86.286958,5662,289.8,19.54,10131.23,15,2017-2018
0100007,Hoover City,AL,Hoover,Jefferson County,13,Urban,33.4062,-86.7669,14027,951.43,14.74,11094.39,17,2017-2018
0100008,Madison City,AL,Madison,Madison County,21,Suburban,34.686721,-86.745741,10767,572.36,18.81,9448.04,11,2017-2018
0100011,Leeds City,AL,Leeds,Jefferson County,21,Suburban,33.54419,-86.541801,1974,88.5,22.31,9625.13,4,2017-2018
0100012,Boaz City,AL,Boaz,Marshall County,32,Town,34.21315,-86.159891,2432,131.83,18.45,9312.5,5,2017-2018
0100013,Trussville City,AL,Trussville,Jefferson County,21,Suburban,33.63251,-86.604551,4602,257.97,17.84,10171.01,5,2017-2018
0100030,Alexander City,AL,Alexander City,Tallapoosa County,32,Town,32.940361,-85.957909,3062,177.91,17.21,9412.48,5,2017-2018
0100060,Andalusia City,AL,Andalusia,Covington County,33,Town,31.327923,-86.482833,1783,95.49,18.67,8693.21,3,2017-2018
0100090,Anniston City,AL,Anniston,Calhoun County,13,Urban,33.708165,-85.822863,2033,114.5,17.76,11550.91,7,2017-2018
0100100,Arab City,AL,Arab,Marshall County,41,Rural,34.328111,-86.487787,2603,157.75,16.5,9202.07,4,2017-2018
0100120,Athens City,AL,Athens,Limestone County,31,Town,34.8092,-86.949816,4524,214.5,21.09,9270.78,8,2017-2018
0100180,Attalla City,AL,Attalla,Etowah County,23,Suburban,33.995794,-86.111442,1528,93.0,16.43,9751.96,3,2017-2018
0100185,Saraland City,AL,Saraland,Mobile County,21,Suburban,30.862118,-88.126675,3098,165.96,18.67,8840.87,4,2017-2018
0100188,Chickasaw City,AL,Chickasaw,Mobile County,21,Suburban,30.763732,-88.075055,1155,55.46,20.83,9073.59,3,2017-2018
0100189,Satsuma City,AL,Satsuma,Mobile County,21,Suburban,30.849239,-88.067799,1463,73.0,20.04,9429.25,2,2017-2018
0100190,Alabaster City,AL,Alabaster,Shelby County,21,Suburban,33.232882,-86.825851,6116,348.85,17.53,10705.69,6,2017-2018
0100194,Pelham City,AL,Pelham,Shelby County,21,Suburban,33.287805,-86.811981,3206,177.0,18.11,9832.19,4,2017-2018
0100195,Pike Road City,AL,Pike Road,Montgomery County,41,Rural,32.33818,-86.028202,1609,76.68,20.98,8400.87,2,2017-2018
0100210,Auburn City,AL,Auburn,Lee County,13,Urban,32.59894,-85.464121,8629,481.0,17.94,9957.12,12,2017-2018
0100240,Autauga County,AL,Prattville,Autauga County,41,Rural,32.46275,-86.474211,9247,491.0,18.83,8202.34,15,2017-2018
0100270,Baldwin County,AL,Bay Minette,Baldwin County,41,Rural,30.912515,-87.787491,31782,1745.52,18.21,9283.65,45,2017-2018
0100300,Barbour County,AL,Clayton,Barbour County,43,Rural,31.878135,-85.450043,824,47.0,17.53,12076.46,3,2017-2018
0100330,Bessemer City,AL,Bessemer,Jefferson County,21,Suburban,33.401041,-86.957423,3610,186.5,19.36,10688.64,9,2017-2018
0100360,Bibb County,AL,Centreville,Bibb County,32,Town,32.945405,-87.143254,3252,186.25,17.46,9491.08,9,2017-2018
0100390,Birmingham City,AL,Birmingham,Jefferson County,12,Urban,33.519899,-86.808778,23777,1319.0,18.03,11117.93,51,2017-2018
0100420,Blount County,AL,Oneonta,Blount County,42,Rural,33.946027,-86.476206,7774,437.54,17.77,9136.48,17,2017-2018
0100450,Brewton City,AL,Brewton,Escambia County,32,Town,31.1177,-87.0723,1123,69.84,16.08,10430.1,3,2017-2018
0100480,Bullock County,AL,Union Springs,Bullock County,32,Town,32.144752,-85.716937,1462,84.0,17.4,9983.58,4,2017-2018
0100510,Butler County,AL,Greenville,Butler County,32,Town,31.815031,-86.626547,3061,162.5,18.84,9225.42,7,2017-2018
0100540,Calhoun County,AL,Anniston,Calhoun County,41,Rural,33.69753,-85.824331,8654,493.5,17.54,9715.97,19,2017-2018
0100600,Chambers County,AL,Lafayette,Chambers County,32,Town,32.890345,-85.382695,3640,211.42,17.22,9461.54,11,2017-2018
0100630,Cherokee County,AL,Centre,Cherokee County,42,Rural,34.151676,-85.678793,3972,236.23,16.81,10617.32,8,2017-2018
0100660,Chilton County,AL,Clanton,Chilton County,42,Rural,32.86855,-86.621991,7688,321.43,23.92,8617.72,14,2017-2018
0100690,Choctaw County,AL,Butler,Choctaw County,43,Rural,32.07944,-88.233236,1381,77.5,17.82,10558.29,4,2017-2018
0100720,Clarke County,AL,Grove Hill,Clarke County,43,Rural,31.709669,-87.780118,2597,156.0,16.65,9898.73,7,2017-2018
0100750,Clay County,AL,Ashland,Clay County,42,Rural,33.274843,-85.835692,1911,110.61,17.28,9094.19,4,2017-2018
0100780,Cleburne County,AL,Heflin,Cleburne County,42,Rural,33.677552,-85.552646,2584,155.22,16.65,9306.11,9,2017-2018
0100810,Coffee County,AL,Elba,Coffee County,42,Rural,31.4109,-86.0563,2177,119.35,18.24,9474.05,4,2017-2018
0100840,Colbert County,AL,Tuscumbia,Colbert County,41,Rural,34.714351,-87.702389,2704,168.22,16.07,11069.16,8,2017-2018
0100870,Conecuh County,AL,Evergreen,Conecuh County,41,Rural,31.455421,-86.969959,1960,73.5,26.67,10443.88,8,2017-2018
0100900,Coosa County,AL,Rockford,Coosa County,43,Rural,32.887557,-86.222306,904,50.72,17.82,11055.31,4,2017-2018
0100930,Covington County,AL,Andalusia,Covington County,42,Rural,31.32154,-86.481711,3049,195.79,15.57,9726.14,9,2017-2018
0100960,Crenshaw County,AL,Luverne,Crenshaw County,43,Rural,31.705059,-86.267718,2278,137.16,16.61,9100.09,4,2017-2018
0100990,Cullman City,AL,Cullman,Cullman County,32,Town,34.179015,-86.840793,3131,180.7,17.33,9626.32,7,2017-2018
0101020,Cullman County,AL,Cullman,Cullman County,42,Rural,34.180941,-86.84041,9606,534.14,17.98,9454.51,28,2017-2018
0101050,Dale County,AL,Ozark,Dale County,42,Rural,31.316339,-85.546946,3150,170.38,18.49,9010.16,8,2017-2018
0101080,Daleville City,AL,Daleville,Dale County,32,Town,31.31601,-85.710273,939,59.59,15.76,10680.51,2,2017-2018
0101110,Dallas County,AL,Selma,Dallas County,42,Rural,32.4118,-87.0236,3179,190.75,16.67,10878.26,12,2017-2018
0101140,DeKalb County,AL,Rainsville,DeKalb County,42,Rural,34.566801,-85.569092,8872,530.76,16.72,9474.41,16,2017-2018
0101170,Decatur City,AL,Decatur,Morgan County,13,Urban,34.606,-86.9825,8738,531.01,16.46,10824.67,20,2017-2018
0101200,Demopolis City,AL,Demopolis,Marengo County,33,Town,32.510583,-87.834922,2332,125.61,18.57,8465.69,4,2017-2018
0101230,Dothan City,AL,Dothan,Houston County,13,Urban,31.217985,-85.394976,9144,476.0,19.21,9420.93,19,2017-2018
0101260,Elba City,AL,Elba,Coffee County,43,Rural,31.424421,-86.102668,614,37.5,16.37,10592.83,3,2017-2018
0101290,Elmore County,AL,Wetumpka,Elmore County,21,Suburban,32.55016,-86.219743,11339,583.0,19.45,8398.8,15,2017-2018
0101320,Enterprise City,AL,Enterprise,Coffee County,32,Town,31.324232,-85.852006,7096,340.5,20.84,8832.72,9,2017-2018
0101350,Escambia County,AL,Brewton,Escambia County,32,Town,31.106169,-87.071849,4316,249.5,17.3,10355.65,12,2017-2018
0101380,Etowah County,AL,Gadsden,Etowah County,23,Suburban,34.0223,-86.0544,8532,512.39,16.65,8800.16,23,2017-2018
0101410,Eufaula City,AL,Eufaula,Barbour County,41,Rural,31.867992,-85.151572,4619,153.35,30.12,5888.29,5,2017-2018
0101440,Fairfield City,AL,Fairfield,Jefferson County,21,Suburban,33.474518,-86.915058,1708,83.31,20.5,10436.18,6,2017-2018
0101470,Fayette County,AL,Fayette,Fayette County,42,Rural,33.6859,-87.8312,2330,137.78,16.91,9498.71,6,2017-2018
0101530,Florence City,AL,Florence,Lauderdale County,13,Urban,34.79955,-87.675921,4353,277.26,15.7,11392.37,8,2017-2018
0101560,Fort Payne City,AL,Fort Payne,DeKalb County,32,Town,34.486206,-85.673755,3270,184.25,17.75,8390.52,4,2017-2018
0101590,Franklin County,AL,Russellville,Franklin County,42,Rural,34.508299,-87.727046,3701,222.83,16.61,9429.88,9,2017-2018
0101620,Gadsden City,AL,Gadsden,Etowah County,13,Urban,34.014,-86.0169,5200,319.07,16.3,9734.23,15,2017-2018
0101640,Geneva City,AL,Geneva,Geneva County,32,Town,31.043864,-85.881269,1245,83.0,15.0,9716.47,3,2017-2018
0101660,Geneva County,AL,Geneva,Geneva County,42,Rural,31.031117,-85.866475,2753,153.0,17.99,9231.02,10,2017-2018
0101680,Greene County,AL,Eutaw,Greene County,42,Rural,32.841464,-87.889358,1074,56.5,19.01,12455.31,5,2017-2018
0101690,Guntersville City,AL,Guntersville,Marshall County,32,Town,34.30894,-86.339271,1927,111.0,17.36,11093.93,4,2017-2018
0101710,Hale County,AL,Greensboro,Hale County,31,Town,32.70705,-87.593647,2558,143.0,17.89,9501.56,7,2017-2018
0101720,Haleyville City,AL,Haleyville,Winston County,41,Rural,34.225543,-87.60498,1661,102.26,16.24,9888.02,4,2017-2018
0101730,Hartselle City,AL,Hartselle,Morgan County,23,Suburban,34.4465,-86.931,3334,192.32,17.34,8958.61,6,2017-2018
0101740,Henry County,AL,Abbeville,Henry County,42,Rural,31.566851,-85.252131,2465,146.0,16.88,8968.76,6,2017-2018
0101760,Homewood City,AL,Homewood,Jefferson County,21,Suburban,33.477464,-86.80551,4251,290.02,14.66,11581.51,5,2017-2018
0101770,Houston County,AL,Dothan,Houston County,41,Rural,31.2207,-85.3972,6419,351.75,18.25,8616.61,12,2017-2018
0101800,Huntsville City,AL,Huntsville,Madison County,12,Urban,34.7342,-86.5778,23989,1413.0,16.98,10706.53,39,2017-2018
0101830,Jackson County,AL,Scottsboro,Jackson County,42,Rural,34.675199,-86.061521,5414,294.95,18.36,10003.14,19,2017-2018
0101860,Jacksonville City,AL,Jacksonville,Calhoun County,13,Urban,33.814819,-85.766097,1614,96.5,16.73,9311.03,2,2017-2018
0101890,Jasper City,AL,Jasper,Walker County,32,Town,33.835022,-87.276626,2739,156.84,17.46,9738.23,5,2017-2018
0101920,Jefferson County,AL,Birmingham,Jefferson County,21,Suburban,33.4871,-86.7926,36144,2023.45,17.86,9261.79,59,2017-2018
0101950,Lamar County,AL,Vernon,Lamar County,43,Rural,33.753695,-88.115146,2389,132.0,18.1,8879.03,5,2017-2018
0101980,Lanett City,AL,Lanett,Chambers County,32,Town,32.86836,-85.191461,917,56.0,16.38,9983.64,3,2017-2018
0102010,Lauderdale County,AL,Florence,Lauderdale County,42,Rural,34.832753,-87.622315,8359,473.12,17.67,9200.38,11,2017-2018
0102040,Lawrence County,AL,Moulton,Lawrence County,42,Rural,34.4755,-87.2926,4754,265.0,17.94,9535.13,15,2017-2018
0102070,Lee County,AL,Opelika,Lee County,21,Suburban,32.620993,-85.39166,9586,580.0,16.53,9465.57,14,2017-2018
0102100,Limestone County,AL,Athens,Limestone County,42,Rural,34.800964,-86.972551,9654,490.17,19.7,8613.74,17,2017-2018
0102130,Linden City,AL,Linden,Marengo County,43,Rural,32.307675,-87.797743,480,31.25,15.36,11489.58,3,2017-2018
0102160,Lowndes County,AL,Hayneville,Lowndes County,42,Rural,32.181682,-86.581037,1436,85.1,16.87,13818.94,8,2017-2018
0102190,Macon County,AL,Tuskegee,Macon County,32,Town,32.421471,-85.685334,1934,106.82,18.11,12026.37,7,2017-2018
0102220,Madison County,AL,Huntsville,Madison County,21,Suburban,34.785482,-86.523002,19293,1017.39,18.96,9041.67,29,2017-2018
0102250,Marengo County,AL,Linden,Marengo County,43,Rural,32.306496,-87.796738,1042,62.0,16.81,11255.28,3,2017-2018
0102310,Marion County,AL,Hamilton,Marion County,43,Rural,34.116746,-87.994381,3280,192.75,17.02,9522.56,12,2017-2018
0102350,Midfield City,AL,Midfield,Jefferson County,21,Suburban,33.459214,-86.911176,1050,58.5,17.95,11947.62,4,2017-2018
0102370,Mobile County,AL,Mobile,Mobile County,12,Urban,30.718638,-88.219762,55272,3007.67,18.38,9501.52,90,2017-2018
0102400,Monroe County,AL,Monroeville,Monroe County,43,Rural,31.518144,-87.317616,3476,210.5,16.51,9401.04,9,2017-2018
0102430,Montgomery County,AL,Montgomery,Montgomery County,12,Urban,32.3739,-86.3023,29433,1668.5,17.64,9406.48,55,2017-2018
0102480,Morgan County,AL,Decatur,Morgan County,42,Rural,34.52823,-86.90049,7553,434.55,17.38,9896.99,19,2017-2018
0102490,Mountain Brook City,AL,Mountain Brook,Jefferson County,21,Suburban,33.5022,-86.754,4363,311.31,14.01,13407.06,6,2017-2018
0102520,Muscle Shoals City,AL,Muscle Shoals,Colbert County,13,Urban,34.733611,-87.63556,2875,171.94,16.72,10451.48,7,2017-2018
0102550,Oneonta City,AL,Oneonta,Blount County,41,Rural,33.93388,-86.49698,1499,88.4,16.96,8493.66,3,2017-2018
0102580,Opelika City,AL,Opelika,Lee County,13,Urban,32.64427,-85.391232,4505,277.43,16.24,10405.55,9,2017-2018
0102610,Opp City,AL,Opp,Covington County,41,Rural,31.2866,-86.250821,1310,78.5,16.69,9848.09,3,2017-2018
0102635,Oxford City,AL,Oxford,Calhoun County,13,Urban,33.61588,-85.835271,4080,265.0,15.4,10332.11,7,2017-2018
0102640,Ozark City,AL,Ozark,Dale County,31,Town,31.45128,-85.65335,2089,124.0,16.85,9789.85,6,2017-2018
0102650,Pell City,AL,Pell City,St. Clair County,32,Town,33.605865,-86.273974,3958,229.0,17.28,8933.8,8,2017-2018
0102670,Perry County,AL,Marion,Perry County,43,Rural,32.634199,-87.320671,1351,83.07,16.26,10683.94,2,2017-2018
0102700,Phenix City,AL,Phenix City,Russell County,21,Suburban,32.46985,-85.004391,7127,385.5,18.49,8887.61,12,2017-2018
0102730,Pickens County,AL,Carrollton,Pickens County,42,Rural,33.254972,-88.168294,2562,151.06,16.96,10098.75,8,2017-2018
0102760,Piedmont City,AL,Piedmont,Calhoun County,31,Town,33.927086,-85.615744,1186,69.0,17.19,8929.17,3,2017-2018
0102790,Pike County,AL,Troy,Pike County,42,Rural,31.806347,-85.972993,2161,132.0,16.37,10874.6,7,2017-2018
0102820,Randolph County,AL,Wedowee,Randolph County,43,Rural,33.31213,-85.476798,2176,130.06,16.73,10230.24,8,2017-2018
